id,title,description,url,author,image,language,category,published
e6abe9b7-8ade-4dd2-b861-4b440b7954ba,‘Now I owned a private war’: Lee Miller and the female journalists who broke battlefield rules,"Whether evading detention, stowing away or sweet-talking soldiers to get to the frontline, Miller – celebrated in a new drama – and her cohort were able to deliver some of the most striking reporting of the second world war",https://www.theguardian.com/film/article/2024/sep/11/now-i-owned-a-private-war-lee-miller-and-the-female-journalists-who-broke-battlefield-rules,Judith Mackrell,https://i.guim.co.uk/img/media/0b5e38f52b6d7beb4a03afc65fc176596cf48203/0_578_4134_2481/master/4134.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=e679e144e9b97fa560346f56a3ca4cf6,en,['regional'],2024-09-11 13:00:04 +0000
97c1eefd-c165-4371-af42-029f8ba4fda6,9/11 responders are getting dementia. They want the government to help.,"It took 19 years for the symptoms to emerge. Tom Beyrer, who served for six months as a police officer at Ground Zero following the Sept. 11 attack on the World Trade Center, was 65 when his memory an...",https://www.washingtonpost.com/science/2024/09/11/911-responders-dementia-cdc/,Dan Hurley,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/2XHTW3UXQK5GLLFQ6ROBJI4PFE.jpg&w=1440,en,['politics'],2024-09-11 13:00:00 +0000
d52b612a-f736-41ab-9b1b-eb6e5f4228e7,GeForce RTX 4070 with Slower GDDR6 Memory Priced on-par with Regular RTX 4070 Cards,"NVIDIA GeForce board partners are preparing a silent launch of a variant of the GeForce RTX 4070 with slower 20 Gbps GDDR6 memory in place of the 21 Gbps GDDR6X that's standard to the RTX 4070, which results in a 5% reduction in memory bandwidth. It turns out that other specs, such as GPU clocks or ...",https://www.techpowerup.com/326517/geforce-rtx-4070-with-slower-gddr6-memory-priced-on-par-with-regular-rtx-4070-cards,W1zzard,None,en,"['gadgets', 'game', 'technology']",2024-09-11 11:37:31 +0000
b2195411-8c29-43ce-b96a-a71e9ff94c6a,Surf’s up and the Nomad Games: photos of the day – Wednesday,The Guardian’s picture editors select photographs from around the world,https://www.theguardian.com/news/gallery/2024/sep/11/surfs-up-nomad-games-photos-of-the-day-wednesday,Natasha Rees-Bloor,https://i.guim.co.uk/img/media/cabcc19373523ab016b7669d5b81bd560e2dafe4/0_21_7232_4343/master/7232.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=70c9edaad90c67ae135bfbdac4730949,en,['regional'],2024-09-11 11:07:58 +0000
117a62cf-7b3d-4589-9df7-2e9e635e18b8,NBA legend lauds Caitlin Clark's development over rookie season,"Indiana Fever rookie Caitlin Clark was the No. 1 overall pick in the WNBA Draft this past spring after a stellar collegiate career at Iowa, but top figures in men's and women's hoops weren't immediately sold on her game translating to the professional ranks.Over the course of the grueling season, Cl...",https://www.foxnews.com/sports/nba-legend-lauds-caitlin-clarks-development-over-rookie-season,Fox News,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2024/09/1024/512/Caitlin-Clark5.jpg?ve=1&tl=1,en,['sports'],2024-09-11 11:00:36 +0000
b6b81059-543d-4e6a-bca9-3be97f3c0f75,Hernández: Forget all the injuries. The Dodgers are going to win the World Series.,"You read it here first, or at least for the first time since their rotation started crumbling like the California coastline: The Dodgers will win the World Series.

Order the rings. Schedule the parad...",https://www.latimes.com/sports/dodgers/story/2024-09-11/column-on-yamamotos-return-after-a-long-injury-absence,Dylan Hernández Is A Sports Columnist With The Los Angeles Times. Before That,https://ca-times.brightspotcdn.com/dims4/default/afcea6f/2147483647/strip/true/crop/5089x2672+0+0/resize/1200x630!/quality/75/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F52%2Fce%2Fbf37d321478c9c3af19b48bf845a%2Fcubs-dodgers-baseball-36897.jpg,en,['sports'],2024-09-11 11:00:32 +0000
875d0536-5c20-48ed-b8a2-b06fad2ca77e,Balthazar Korab's Stunning Photos of the World Trade Center,It's 23 years since it was destroyed during the September 11 attacks.,https://petapixel.com/2024/09/11/balthazar-korabs-stunning-photos-of-the-world-trade-center-twin-towers/,Matt Growcoot,https://petapixel.com/assets/uploads/2024/09/Balthazar-WTC.jpg,en,"['photography', 'lifestyle']",2024-09-11 11:00:32 +0000
2cce7755-b461-48c9-bbf5-32d6d0effdc8,How the Cheney mind succumbed to Trump Derangement Syndrome,"Trump Derangement Syndrome can make people do strange and frightening things. It can goad a state's attorney into trying to throw someone in jail for making a perfectly legal ""hush money"" payment to an alleged paramour. It can lead law enforcement to charge individual citizens with violations of Sar...",https://thehill.com/opinion/4872562-trump-derangement-syndrome-impact/,"Mick Mulvaney, opinion contributor",None,en,['general'],2024-09-11 11:00:00 +0000
1345cbb5-8465-4990-a47e-93b67aac54d8,2023 ODI World Cup In India Delivers $1.39 Billion Economic Boost,"""The secondary and incremental spends within the economy was a key driver, generating $515.7 million, which was approximately 37% of the total impact.""

However, the ICC did not specify whether the ma...",https://www.ndtvprofit.com/sports/2023-odi-world-cup-in-india-delivers-139-billion-economic-boost,Live Tv,https://media.assettype.com/bloombergquint%2F2023-10%2F23396a9d-20cf-4faa-b769-2b00dbaec67e%2Faksh_yadav_bY4cqxp7vos_unsplash.jpg?rect=0%2C251%2C4808%2C2524&w=1200&auto=format%2Ccompress&ogImage=true,en,"['general', 'business']",2024-09-11 10:45:14 +0000
7c32df5e-00f6-4d92-951c-2d94dd3a4a24,'Founder mode' is the latest Silicon Valley buzzword telling toxic bosses they’re great,The battle over 'founder mode' versus 'manager mode' is one of those manufactured dramas that only a small segment of the world cares about — like going to Davos or Cannes or the Vanity Fair Oscar Party.,https://www.ctvnews.ca/business/founder-mode-is-the-latest-silicon-valley-buzzword-telling-toxic-bosses-they-re-great-1.7033335,@CTVNews,https://www.ctvnews.ca/content/dam/ctvnews/en/images/2016/1/7/silicon-valley-1-2728326-1646278298138.jpg,en,['business'],2024-09-11 10:32:07 +0000
dccdb389-4f41-4e08-85d0-5870f2d5893a,AsyncAPI — A standard specification for documenting Event-Driven Applications,"Twitter | LinkedIn | YouTube | Instagram
If you're working with event-driven applications, chances are you've heard of AsyncAPI. AsyncAPI is the standard specification for defining asynchronous APIs, just like OpenAPI is the standard specification for defining HTTP APIs.

Before AsyncAPI, there was ...",https://dev.to/raphaeldelio/asyncapi-a-standard-specification-for-documenting-event-driven-applications-4dep,Raphael De Lio,None,en,['programming'],2024-09-11 10:06:29 +0000
2e70be1c-90a1-4487-b5db-b7c2b90520d0,Honolulu to remember victims of 9/11 attacks | Honolulu Star-Advertiser,"The public is invited to Honolulu’s annual 9/11 Remembrance Ceremony today to honor the victims of the attacks on the World Trade Center, the Pentagon and United Airlines Flight 93 on Sept. 11, 2001.",https://www.staradvertiser.com/2024/09/11/hawaii-news/honolulu-to-remember-victims-of-9-11-attacks/,Star-Advertiser Staff,https://www.staradvertiser.com/wp-content/uploads/2024/09/web1_WDA-9-11--79.jpg,en,['regional'],2024-09-11 10:05:00 +0000
